Game 248: Score = 1180, Max Tile = 128, Time = 0.0205 seconds
Game 249: Score = 1416, Max Tile = 128, Time = 0.0504 seconds
Game 250: Score = 652, Max Tile = 64, Time = 0.0070 seconds
Game 251: Score = 1100, Max Tile = 128, Time = 0.0427 seconds
Game 252: Score = 456, Max Tile = 64, Time = 0.0125 seconds
Game 253: Score = 616, Max Tile = 64, Time = 0.0208 seconds
Game 254: Score = 1108, Max Tile = 64, Time = 0.0284 seconds
Game 255: Score = 1000, Max Tile = 64, Time = 0.0446 seconds
Game 256: Score = 316, Max Tile = 32, Time = 0.0177 seconds
Game 257: Score = 1312, Max Tile = 128, Time = 0.0334 seconds
Game 258: Score = 420, Max Tile = 32, Time = 0.0267 seconds
Game 259: Score = 576, Max Tile = 64, Time = 0.0234 seconds
Game 260: Score = 1328, Max Tile = 128, Time = 0.0419 seconds
Game 261: Score = 1228, Max Tile = 128, Time = 0.0364 seconds
Game 262: Score = 352, Max Tile = 32, Time = 0.0144 seconds
Game 263: Score = 480, Max Tile = 64, Time = 0.0260 seconds
Game 264: Score = 1336, Max Tile = 128, Time = 0.0293 seconds
Game 265: Score = 952, Max Tile = 64, Time = 0.0277 seconds
Game 266: Score = 444, Max Tile = 32, Time = 0.0224 seconds
Game 267: Score = 820, Max Tile = 64, Time = 0.0216 seconds
Game 268: Score = 1068, Max Tile = 64, Time = 0.0381 seconds
Game 269: Score = 1328, Max Tile = 64, Time = 0.0408 seconds
Game 270: Score = 1220, Max Tile = 128, Time = 0.0321 seconds
Game 271: Score = 392, Max Tile = 32, Time = 0.0199 seconds
Game 272: Score = 640, Max Tile = 64, Time = 0.0211 seconds
Game 273: Score = 568, Max Tile = 64, Time = 0.0263 seconds
Game 274: Score = 1260, Max Tile = 128, Time = 0.0437 seconds
Game 275: Score = 1364, Max Tile = 128, Time = 0.0396 seconds
Game 276: Score = 1312, Max Tile = 128, Time = 0.0335 seconds
Game 277: Score = 772, Max Tile = 64, Time = 0.0386 seconds
Game 278: Score = 920, Max Tile = 128, Time = 0.0249 seconds
Game 279: Score = 960, Max Tile = 64, Time = 0.0416 seconds
Game 280: Score = 956, Max Tile = 64, Time = 0.0292 seconds
Game 281: Score = 1140, Max Tile = 128, Time = 0.0308 seconds
Game 282: Score = 1704, Max Tile = 128, Time = 0.0402 seconds
Game 283: Score = 752, Max Tile = 64, Time = 0.0152 seconds
Game 284: Score = 1464, Max Tile = 128, Time = 0.0450 seconds
Game 285: Score = 744, Max Tile = 64, Time = 0.0221 seconds
Game 286: Score = 608, Max Tile = 64, Time = 0.0322 seconds
Game 287: Score = 1300, Max Tile = 128, Time = 0.0330 seconds
Game 288: Score = 660, Max Tile = 64, Time = 0.0177 seconds
Game 289: Score = 1352, Max Tile = 128, Time = 0.0472 seconds
Game 290: Score = 648, Max Tile = 64, Time = 0.0092 seconds
Game 291: Score = 1356, Max Tile = 128, Time = 0.0342 seconds
Game 292: Score = 624, Max Tile = 64, Time = 0.0167 seconds
Game 293: Score = 1388, Max Tile = 128, Time = 0.0334 seconds
Game 294: Score = 1324, Max Tile = 128, Time = 0.0528 seconds
Game 295: Score = 900, Max Tile = 64, Time = 0.0380 seconds
Game 296: Score = 1308, Max Tile = 128, Time = 0.0355 seconds
Game 297: Score = 1224, Max Tile = 128, Time = 0.0417 seconds
Game 298: Score = 1024, Max Tile = 128, Time = 0.0384 seconds
Game 299: Score = 1188, Max Tile = 128, Time = 0.0537 seconds
Game 300: Score = 1304, Max Tile = 128, Time = 0.0378 seconds
Game 301: Score = 368, Max Tile = 32, Time = 0.0000 seconds
Game 302: Score = 1148, Max Tile = 128, Time = 0.0511 seconds
Game 303: Score = 740, Max Tile = 64, Time = 0.0364 seconds
Game 304: Score = 1244, Max Tile = 128, Time = 0.0542 seconds
Game 305: Score = 1444, Max Tile = 128, Time = 0.0499 seconds
Game 306: Score = 1392, Max Tile = 128, Time = 0.0479 seconds
Game 307: Score = 1208, Max Tile = 128, Time = 0.0234 seconds
Game 308: Score = 612, Max Tile = 64, Time = 0.0363 seconds
Game 309: Score = 480, Max Tile = 64, Time = 0.0296 seconds
Game 310: Score = 1176, Max Tile = 128, Time = 0.0369 seconds
Game 311: Score = 800, Max Tile = 64, Time = 0.0376 seconds
Game 312: Score = 1396, Max Tile = 128, Time = 0.0458 seconds
Game 313: Score = 668, Max Tile = 64, Time = 0.0326 seconds
Game 314: Score = 236, Max Tile = 32, Time = 0.0101 seconds
Game 315: Score = 1080, Max Tile = 128, Time = 0.0441 seconds
Game 316: Score = 2168, Max Tile = 256, Time = 0.0442 seconds
Game 317: Score = 1628, Max Tile = 128, Time = 0.0378 seconds
Game 318: Score = 1728, Max Tile = 128, Time = 0.0361 seconds
Game 319: Score = 916, Max Tile = 64, Time = 0.0302 seconds
Game 320: Score = 896, Max Tile = 64, Time = 0.0363 seconds
Game 321: Score = 604, Max Tile = 64, Time = 0.0258 seconds
Game 322: Score = 1360, Max Tile = 128, Time = 0.0335 seconds
Game 323: Score = 1200, Max Tile = 128, Time = 0.0494 seconds
Game 324: Score = 1360, Max Tile = 128, Time = 0.0359 seconds
Game 325: Score = 856, Max Tile = 64, Time = 0.0254 seconds
Game 326: Score = 616, Max Tile = 64, Time = 0.0254 seconds
Game 327: Score = 724, Max Tile = 64, Time = 0.0336 seconds
Game 328: Score = 1280, Max Tile = 64, Time = 0.0336 seconds
Game 329: Score = 548, Max Tile = 64, Time = 0.0200 seconds
Game 330: Score = 496, Max Tile = 64, Time = 0.0172 seconds
Game 331: Score = 604, Max Tile = 64, Time = 0.0164 seconds
Game 332: Score = 872, Max Tile = 64, Time = 0.0407 seconds
Game 333: Score = 1620, Max Tile = 128, Time = 0.0321 seconds
Game 334: Score = 1216, Max Tile = 64, Time = 0.0240 seconds
Game 335: Score = 1156, Max Tile = 128, Time = 0.0417 seconds
Game 336: Score = 828, Max Tile = 64, Time = 0.0254 seconds
Game 337: Score = 696, Max Tile = 64, Time = 0.0243 seconds
Game 338: Score = 1496, Max Tile = 128, Time = 0.0393 seconds
Game 339: Score = 548, Max Tile = 64, Time = 0.0169 seconds
Game 340: Score = 1796, Max Tile = 128, Time = 0.0357 seconds
Game 341: Score = 956, Max Tile = 64, Time = 0.0315 seconds
Game 342: Score = 808, Max Tile = 64, Time = 0.0291 seconds
Game 343: Score = 1048, Max Tile = 128, Time = 0.0258 seconds
Game 344: Score = 648, Max Tile = 64, Time = 0.0215 seconds
Game 345: Score = 800, Max Tile = 64, Time = 0.0202 seconds
Game 346: Score = 292, Max Tile = 32, Time = 0.0136 seconds
Game 347: Score = 544, Max Tile = 64, Time = 0.0212 seconds
Game 348: Score = 780, Max Tile = 64, Time = 0.0235 seconds
Game 349: Score = 3092, Max Tile = 256, Time = 0.0709 seconds
Game 350: Score = 544, Max Tile = 64, Time = 0.0199 seconds
